Method,Accuracy,Mutual Information,Dunn Index,Adjusted Rand Index
PCA Full,0.5621096460791117,1.0547236746830246,,
PCA Randomized,0.7272727272727273,1.084569862910575,,
GRP,0.6419153365718251,1.0286418838901428,,
SRP,0.5555170020818876,0.9082875096161005,,
