Method,Accuracy,Mutual Information,Dunn Index,Adjusted Rand Index
PCA Full,0.9058716707021792,0.42577514955894447,,
PCA Randomized,0.9418886198547215,0.4795708313096976,,
GRP,0.8834745762711864,0.331736254260767,,
SRP,0.9721549636803875,0.5802145016461302,,
