Reduction Method,Components,Clustering Method,Adjusted Rand Index,Mutual Information,Accuracy,Dunn Index,Silhouette Score,Gap Statistic,Calinski-Harabasz Index,Davies-Bouldin Index,WCSS
PCA_full,5,Hierarchical,,,,2.1924267253329566e-05,0.3808357958213964,5.924771982718681,224.3313668855056,1.6467594956757106,2003276227.893265
PCA_full,5,SphericalKMeans,,,,5.80594969793549e-06,0.38225296067451964,5.92595626677112,234.0557289676052,1.6445375406173266,1994923548.9187682
PCA_randomized,5,Hierarchical,,,,2.192426729892271e-05,0.3808357958219106,5.925415335319297,224.33136688550388,1.6467594956758307,2003276227.8932662
PCA_randomized,5,SphericalKMeans,,,,5.805949703180237e-06,0.3822529606750268,5.936101762486707,234.05572896759753,1.6445375406173752,1994923548.9187746
PCA_full,6,Hierarchical,,,,7.741003929721409e-06,0.28264607973165057,6.111591981949481,201.6823965681116,1.6287971887069055,2035439636.4445243
PCA_full,6,SphericalKMeans,,,,6.566996983625557e-06,0.27599106196085055,6.112507274700807,204.8653358977743,1.6121962152192744,2032626567.8046505
PCA_randomized,6,Hierarchical,,,,7.74102145094354e-06,0.2826460784659382,6.111134029836197,201.68239657033027,1.6287971887393418,2035439636.4425611
PCA_randomized,6,SphericalKMeans,,,,6.566996362014027e-06,0.2759910614938952,6.109376426005085,204.8653359091711,1.612196215187763,2032626567.7945929
PCA_full,7,Hierarchical,,,,2.4923262281645203e-05,0.27714059585983153,5.881100365196222,202.81237288630686,1.6654802173780219,2042718075.743795
PCA_full,7,SphericalKMeans,,,,3.1866503366750096e-06,0.2794073870572729,5.8738538005782175,207.8199208864679,1.7846352693755276,2038282290.6395833
PCA_randomized,7,Hierarchical,,,,2.492324190691446e-05,0.27714059620791226,5.872417716851658,202.81237286068327,1.6654802177700578,2042718075.7665431
PCA_randomized,7,SphericalKMeans,,,,3.186670794086477e-06,0.27940738648020597,5.871068336146418,207.8199208320617,1.7846352700806307,2038282290.6876738
PCA_full,8,Hierarchical,,,,3.4985846340044784e-05,0.2648482257398097,5.881490012731415,194.37143631474163,1.6199706512043341,2057904893.5874612
PCA_full,8,SphericalKMeans,,,,2.3245161889165873e-05,0.2769219778140152,5.884451117496905,206.82985677540916,1.634952057681782,2046782155.0437422
PCA_randomized,8,Hierarchical,,,,3.4985872118689485e-05,0.26484822479836795,5.883102854913645,194.37143628833164,1.6199706510729748,2057904893.6111717
PCA_randomized,8,SphericalKMeans,,,,2.3245139851128828e-05,0.27692197608255115,5.8803784836954485,206.8298567424256,1.6349520574565268,2046782155.073035
PCA_full,9,Hierarchical,,,,4.346900001481645e-05,0.20725783842134116,5.8679038413493,187.22721921880589,1.8013925216580269,2068356680.284394
PCA_full,9,SphericalKMeans,,,,1.742025121018973e-05,0.21321319190509522,5.868165616014149,203.2678222684943,1.7700773403058137,2053940798.3187225
PCA_randomized,9,Hierarchical,,,,4.346527158246059e-05,0.20725781786550102,5.8706042097063325,187.22721940994708,1.8013925343594328,2068356680.111367
PCA_randomized,9,SphericalKMeans,,,,1.741958864708929e-05,0.21321316307226565,5.867961284025306,203.2678218234999,1.7700773565033965,2053940798.7158163
PCA_full,10,Hierarchical,,,,0.00010173334893684487,0.25170144601159006,6.10750318261136,202.06812942000417,1.655514270900514,2058178360.844997
PCA_full,10,SphericalKMeans,,,,2.2972911531681224e-05,0.21262494275534358,6.102605263909364,202.7637394476493,1.772435702078793,2057556147.8644352
PCA_randomized,10,Hierarchical,,,,0.00010173706362884847,0.2517014370424613,6.101751039465434,202.06813045284684,1.655514251196826,2058178359.9206374
PCA_randomized,10,SphericalKMeans,,,,2.2968125523310504e-05,0.21262493091683282,6.102019668727568,202.7637401370923,1.7724356932194565,2057556147.2477083
PCA_full,11,Hierarchical,,,,0.00020785782061939206,0.24346565626847533,5.87105230938505,202.5664978832952,1.6909582825652925,2060440344.3453639
PCA_full,11,SphericalKMeans,,,,7.458081073310343e-05,0.24062619877980007,5.870723412790923,200.0138463768528,1.6630592953784442,2062728898.1965294
PCA_randomized,11,Hierarchical,,,,0.0002079245039072597,0.24346571243863946,5.878697424737247,202.5665017162878,1.6909582803408403,2060440340.9098072
PCA_randomized,11,SphericalKMeans,,,,7.457665835871478e-05,0.2406260916338189,5.870931636223563,200.013848120928,1.6630592702552243,2062728896.6282177
PCA_full,12,Hierarchical,,,,9.983538524506654e-05,0.1576095012447802,5.864587546940829,198.669591407407,1.6803704488544726,2066251538.3766863
PCA_full,12,SphericalKMeans,,,,7.160518072381284e-05,0.22924786434598385,5.862023284987522,199.89731505880465,1.668335339770566,2065147674.8166966
PCA_randomized,12,Hierarchical,,,,9.983417503063198e-05,0.15760940951090407,5.8634512147168145,198.66959040970457,1.6803704830230883,2066251539.2739286
PCA_randomized,12,SphericalKMeans,,,,7.159023250368445e-05,0.22924776420128892,5.864317415431238,199.897314235972,1.6683353664555591,2065147675.5558374
PCA_full,13,Hierarchical,,,,0.0003544112897857044,0.20851749964199662,5.8692359582061115,188.16029176057847,1.6480329226265045,2077610749.0873547
PCA_full,13,SphericalKMeans,,,,0.00019979634949546558,0.21091408518692006,5.859909145065334,206.03424913923578,1.6697118279077277,2061494711.4091108
PCA_randomized,13,Hierarchical,,,,0.0003544440414048482,0.20851729701950758,5.855992000264827,188.1602923632525,1.6480328637755335,2077610748.5300326
PCA_randomized,13,SphericalKMeans,,,,0.00019981347544285413,0.21091388593745097,5.858643098724251,206.034250307677,1.6697117779840578,2061494710.35416
