Reduction Method,Components,Reduction Time
PCA_full,5,490.88598251342773
PCA_full,5,490.88598251342773
PCA_randomized,5,9.788047790527344
PCA_randomized,5,9.788047790527344
PCA_full,6,463.36669850349426
PCA_full,6,463.36669850349426
PCA_randomized,6,7.350409746170044
PCA_randomized,6,7.350409746170044
PCA_full,7,503.54911851882935
PCA_full,7,503.54911851882935
PCA_randomized,7,7.844051122665405
PCA_randomized,7,7.844051122665405
PCA_full,8,474.37018728256226
PCA_full,8,474.37018728256226
PCA_randomized,8,6.392975330352783
PCA_randomized,8,6.392975330352783
PCA_full,9,496.356481552124
PCA_full,9,496.356481552124
PCA_randomized,9,9.311662197113037
PCA_randomized,9,9.311662197113037
PCA_full,10,500.5600507259369
PCA_full,10,500.5600507259369
PCA_randomized,10,7.506902694702148
PCA_randomized,10,7.506902694702148
PCA_full,11,441.2260744571686
PCA_full,11,441.2260744571686
PCA_randomized,11,10.447407960891724
PCA_randomized,11,10.447407960891724
PCA_full,12,430.72490787506104
PCA_full,12,430.72490787506104
PCA_randomized,12,9.337076663970947
PCA_randomized,12,9.337076663970947
PCA_full,13,464.5099732875824
PCA_full,13,464.5099732875824
PCA_randomized,13,10.565372228622437
PCA_randomized,13,10.565372228622437
PCA_full,14,489.43943977355957
PCA_full,14,489.43943977355957
PCA_randomized,14,9.481261491775513
PCA_randomized,14,9.481261491775513
PCA_full,15,484.58672428131104
PCA_full,15,484.58672428131104
PCA_randomized,15,6.44401478767395
PCA_randomized,15,6.44401478767395
PCA_full,16,496.23614859580994
PCA_full,16,496.23614859580994
PCA_randomized,16,9.264829158782959
PCA_randomized,16,9.264829158782959
PCA_full,17,477.1845397949219
PCA_full,17,477.1845397949219
PCA_randomized,17,9.133353471755981
PCA_randomized,17,9.133353471755981
PCA_full,18,496.40872979164124
PCA_full,18,496.40872979164124
PCA_randomized,18,7.565324544906616
PCA_randomized,18,7.565324544906616
PCA_full,19,512.3962850570679
PCA_full,19,512.3962850570679
PCA_randomized,19,10.992873430252075
PCA_randomized,19,10.992873430252075
PCA_full,20,496.74021339416504
PCA_full,20,496.74021339416504
PCA_randomized,20,10.704095363616943
PCA_randomized,20,10.704095363616943
PCA_full,21,428.0329279899597
PCA_full,21,428.0329279899597
PCA_randomized,21,10.29198145866394
PCA_randomized,21,10.29198145866394
PCA_full,22,461.65522933006287
PCA_full,22,461.65522933006287
PCA_randomized,22,12.988787174224854
PCA_randomized,22,12.988787174224854
PCA_full,23,481.8872244358063
PCA_full,23,481.8872244358063
PCA_randomized,23,10.538976669311523
PCA_randomized,23,10.538976669311523
PCA_full,24,491.69884300231934
PCA_full,24,491.69884300231934
PCA_randomized,24,11.134988784790039
PCA_randomized,24,11.134988784790039
PCA_full,25,499.33513593673706
PCA_full,25,499.33513593673706
PCA_randomized,25,9.637938022613525
PCA_randomized,25,9.637938022613525
PCA_full,50,495.46212363243103
PCA_full,50,495.46212363243103
PCA_randomized,50,15.243884325027466
PCA_randomized,50,15.243884325027466
PCA_full,75,468.81442427635193
PCA_full,75,468.81442427635193
PCA_randomized,75,17.915507078170776
PCA_randomized,75,17.915507078170776
PCA_full,100,487.83211064338684
PCA_full,100,487.83211064338684
PCA_randomized,100,18.212711572647095
PCA_randomized,100,18.212711572647095
PCA_full,125,462.1922001838684
PCA_full,125,462.1922001838684
PCA_randomized,125,21.15578293800354
