Method,Accuracy,Mutual Information,Dunn Index,Adjusted Rand Index
PCA Full,0.9966707021791767,0.6707305460754927,0.08765668500539138,0.9867228595222256
PCA Randomized,0.9948547215496368,0.6593161470565181,0.0001271064097484135,0.9795182914286894
GRP,0.9878934624697336,0.6329055617916872,8.69713160731032e-06,0.9521441198894914
SRP,0.9972760290556901,0.6738651624085836,0.08451378158028423,0.989130295046982
