Reduction Method,Components,Reduction Time
PCA_full,5,117.52513980865479
PCA_full,5,117.52513980865479
PCA_randomized,5,1.7837679386138916
PCA_randomized,5,1.7837679386138916
PCA_full,6,119.2241370677948
PCA_full,6,119.2241370677948
PCA_randomized,6,3.043670892715454
PCA_randomized,6,3.043670892715454
PCA_full,7,119.21443676948547
PCA_full,7,119.21443676948547
PCA_randomized,7,2.421980381011963
PCA_randomized,7,2.421980381011963
PCA_full,8,98.63320541381836
PCA_full,8,98.63320541381836
PCA_randomized,8,2.999246597290039
PCA_randomized,8,2.999246597290039
PCA_full,9,110.25253057479858
PCA_full,9,110.25253057479858
PCA_randomized,9,2.2679495811462402
PCA_randomized,9,2.2679495811462402
PCA_full,10,124.14809989929199
PCA_full,10,124.14809989929199
PCA_randomized,10,2.883380174636841
PCA_randomized,10,2.883380174636841
PCA_full,11,119.30184483528137
PCA_full,11,119.30184483528137
PCA_randomized,11,3.0380172729492188
PCA_randomized,11,3.0380172729492188
PCA_full,12,111.6047568321228
PCA_full,12,111.6047568321228
PCA_randomized,12,3.0915591716766357
PCA_randomized,12,3.0915591716766357
PCA_full,13,122.95870542526245
PCA_full,13,122.95870542526245
PCA_randomized,13,2.2997872829437256
PCA_randomized,13,2.2997872829437256
PCA_full,14,119.3187153339386
PCA_full,14,119.3187153339386
PCA_randomized,14,1.690058946609497
PCA_randomized,14,1.690058946609497
PCA_full,15,124.58428621292114
PCA_full,15,124.58428621292114
PCA_randomized,15,2.7616751194000244
PCA_randomized,15,2.7616751194000244
PCA_full,16,98.96206450462341
PCA_full,16,98.96206450462341
PCA_randomized,16,2.498028516769409
PCA_randomized,16,2.498028516769409
PCA_full,17,120.43056988716125
PCA_full,17,120.43056988716125
PCA_randomized,17,3.2027390003204346
PCA_randomized,17,3.2027390003204346
PCA_full,18,115.05810189247131
PCA_full,18,115.05810189247131
PCA_randomized,18,2.7530770301818848
PCA_randomized,18,2.7530770301818848
PCA_full,19,93.44603109359741
PCA_full,19,93.44603109359741
PCA_randomized,19,4.336025714874268
PCA_randomized,19,4.336025714874268
PCA_full,20,127.26895189285278
PCA_full,20,127.26895189285278
PCA_randomized,20,3.0688552856445312
PCA_randomized,20,3.0688552856445312
PCA_full,21,124.85662984848022
PCA_full,21,124.85662984848022
PCA_randomized,21,3.156440258026123
PCA_randomized,21,3.156440258026123
PCA_full,22,112.94323754310608
PCA_full,22,112.94323754310608
PCA_randomized,22,4.468707799911499
PCA_randomized,22,4.468707799911499
PCA_full,23,120.51571869850159
PCA_full,23,120.51571869850159
PCA_randomized,23,4.153218030929565
PCA_randomized,23,4.153218030929565
PCA_full,24,120.26920127868652
PCA_full,24,120.26920127868652
PCA_randomized,24,4.217618227005005
PCA_randomized,24,4.217618227005005
PCA_full,25,117.29447913169861
PCA_full,25,117.29447913169861
PCA_randomized,25,4.226124286651611
PCA_randomized,25,4.226124286651611
PCA_full,50,106.49977207183838
PCA_full,50,106.49977207183838
PCA_randomized,50,4.204993724822998
PCA_randomized,50,4.204993724822998
PCA_full,75,120.762779712677
PCA_full,75,120.762779712677
PCA_randomized,75,6.08294677734375
PCA_randomized,75,6.08294677734375
PCA_full,100,118.78311085700989
PCA_full,100,118.78311085700989
PCA_randomized,100,5.619343042373657
PCA_randomized,100,5.619343042373657
PCA_full,125,124.12068486213684
PCA_full,125,124.12068486213684
PCA_randomized,125,3.7926321029663086
PCA_randomized,125,3.7926321029663086
PCA_full,150,121.37752389907837
PCA_full,150,121.37752389907837
PCA_randomized,150,6.193584203720093
PCA_randomized,150,6.193584203720093
PCA_full,175,113.71961903572083
PCA_full,175,113.71961903572083
PCA_randomized,175,7.606934547424316
PCA_randomized,175,7.606934547424316
PCA_full,200,126.95512557029724
PCA_full,200,126.95512557029724
PCA_randomized,200,7.3752665519714355
PCA_randomized,200,7.3752665519714355
PCA_full,225,124.48271298408508
PCA_full,225,124.48271298408508
PCA_randomized,225,7.953609943389893
PCA_randomized,225,7.953609943389893
PCA_full,250,125.69865608215332
PCA_full,250,125.69865608215332
PCA_randomized,250,9.561264514923096
PCA_randomized,250,9.561264514923096
PCA_full,275,119.76436138153076
PCA_full,275,119.76436138153076
PCA_randomized,275,9.812302827835083
PCA_randomized,275,9.812302827835083
PCA_full,300,109.10607671737671
PCA_full,300,109.10607671737671
PCA_randomized,300,7.101670026779175
PCA_randomized,300,7.101670026779175
PCA_full,325,116.80555081367493
PCA_full,325,116.80555081367493
PCA_randomized,325,9.566684246063232
PCA_randomized,325,9.566684246063232
PCA_full,350,111.36416983604431
PCA_full,350,111.36416983604431
PCA_randomized,350,8.614344835281372
PCA_randomized,350,8.614344835281372
PCA_full,375,104.45949912071228
PCA_full,375,104.45949912071228
PCA_randomized,375,11.506053924560547
PCA_randomized,375,11.506053924560547
PCA_full,400,113.91356062889099
PCA_full,400,113.91356062889099
PCA_randomized,400,10.477317571640015
PCA_randomized,400,10.477317571640015
PCA_full,425,112.17979907989502
PCA_full,425,112.17979907989502
PCA_randomized,425,10.822004318237305
PCA_randomized,425,10.822004318237305
PCA_full,450,115.58309006690979
PCA_full,450,115.58309006690979
PCA_randomized,450,15.528677225112915
PCA_randomized,450,15.528677225112915
PCA_full,475,116.97133564949036
PCA_full,475,116.97133564949036
PCA_randomized,475,11.133097648620605
PCA_randomized,475,11.133097648620605
PCA_full,500,112.96651220321655
PCA_full,500,112.96651220321655
PCA_randomized,500,13.549827814102173
PCA_randomized,500,13.549827814102173
PCA_full,525,115.74120807647705
PCA_full,525,115.74120807647705
PCA_randomized,525,14.16811490058899
PCA_randomized,525,14.16811490058899
PCA_full,550,114.7793800830841
PCA_full,550,114.7793800830841
PCA_randomized,550,13.791376829147339
PCA_randomized,550,13.791376829147339
PCA_full,575,107.43501138687134
PCA_full,575,107.43501138687134
PCA_randomized,575,16.96246910095215
PCA_randomized,575,16.96246910095215
PCA_full,600,117.14225745201111
PCA_full,600,117.14225745201111
PCA_randomized,600,12.335054636001587
PCA_randomized,600,12.335054636001587
PCA_full,625,105.60882353782654
PCA_full,625,105.60882353782654
PCA_randomized,625,18.433274745941162
PCA_randomized,625,18.433274745941162
PCA_full,650,109.1766037940979
PCA_full,650,109.1766037940979
PCA_randomized,650,17.24478578567505
PCA_randomized,650,17.24478578567505
PCA_full,675,99.35190081596375
PCA_full,675,99.35190081596375
PCA_randomized,675,17.350594997406006
PCA_randomized,675,17.350594997406006
PCA_full,700,99.024569272995
PCA_full,700,99.024569272995
PCA_randomized,700,21.00895047187805
PCA_randomized,700,21.00895047187805
PCA_full,725,88.01866841316223
PCA_full,725,88.01866841316223
PCA_randomized,725,16.165229082107544
PCA_randomized,725,16.165229082107544
PCA_full,750,72.5931613445282
PCA_full,750,72.5931613445282
PCA_randomized,750,22.58371067047119
PCA_randomized,750,22.58371067047119
